temp, ideal, equilibrium
5.00000e-01,5.94483e-01,6.08093e-01
7.50000e-01,8.72700e-01,8.80130e-01
1.00000e+00,1.13241e+00,1.14215e+00
1.25000e+00,1.36556e+00,1.39502e+00
1.50000e+00,1.55372e+00,1.63960e+00
1.75000e+00,1.70228e+00,1.87675e+00
2.00000e+00,1.85249e+00,2.10733e+00
2.25000e+00,2.00360e+00,2.33214e+00
2.50000e+00,2.14242e+00,2.55179e+00
2.75000e+00,2.26182e+00,2.76686e+00
3.00000e+00,2.36548e+00,2.97778e+00
3.25000e+00,2.46781e+00,3.18391e+00
3.50000e+00,2.57343e+00,3.38409e+00
3.75000e+00,2.67938e+00,3.57718e+00
4.00000e+00,2.78252e+00,3.76556e+00
4.25000e+00,2.87999e+00,3.95761e+00
4.50000e+00,2.97158e+00,4.16232e+00
4.75000e+00,3.05858e+00,4.38717e+00
5.00000e+00,3.14229e+00,4.63126e+00
5.25000e+00,3.22401e+00,4.89076e+00
5.50000e+00,3.30492e+00,5.16925e+00
5.75000e+00,3.38521e+00,5.48962e+00
6.00000e+00,3.46466e+00,5.87694e+00
6.25000e+00,3.54302e+00,6.31991e+00
6.50000e+00,3.62007e+00,6.76061e+00
6.75000e+00,3.69558e+00,7.15926e+00
7.00000e+00,3.76933e+00,7.51802e+00
7.25000e+00,3.84108e+00,7.84351e+00
7.50000e+00,3.91060e+00,8.13839e+00
7.75000e+00,3.97766e+00,8.40325e+00
8.00000e+00,4.04205e+00,8.63879e+00
8.25000e+00,4.10380e+00,8.84675e+00
8.50000e+00,4.16362e+00,9.02956e+00
8.75000e+00,4.22233e+00,9.19027e+00
9.00000e+00,4.28073e+00,9.33477e+00
9.25000e+00,4.33958e+00,9.46985e+00
9.50000e+00,4.39905e+00,9.60228e+00
9.75000e+00,4.45869e+00,9.73771e+00
1.00000e+01,4.51805e+00,9.87772e+00
1.02500e+01,4.57665e+00,1.00229e+01
1.05000e+01,4.63403e+00,1.01739e+01
1.07500e+01,4.68980e+00,1.03321e+01
1.10000e+01,4.74406e+00,1.04992e+01
1.12500e+01,4.79723e+00,1.06770e+01
1.15000e+01,4.84975e+00,1.08672e+01
1.17500e+01,4.90195e+00,1.10693e+01
1.20000e+01,4.95399e+00,1.12818e+01
1.22500e+01,5.00597e+00,1.15034e+01
1.25000e+01,5.05801e+00,1.17329e+01
1.27500e+01,5.11021e+00,1.19705e+01
1.30000e+01,5.16270e+00,1.22167e+01
1.32500e+01,5.21557e+00,1.24720e+01
1.35000e+01,5.26894e+00,1.27366e+01
1.37500e+01,5.32292e+00,1.30105e+01
1.40000e+01,5.37762e+00,1.32935e+01
1.42500e+01,5.43316e+00,1.35855e+01
1.45000e+01,5.48964e+00,1.38862e+01
1.47500e+01,5.54718e+00,1.41954e+01
1.50000e+01,5.60588e+00,1.45130e+01
